"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-26","2.0",,"0.0","0.0","0.0",,"15.6","3.3",,"   50","  220","6.3","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-27","2.2",,"0.0","0.0","0.0",,"20.6","10.0",,"   60","   20","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-28","3.3",,"11.4","0.0","0.0",,"12.2","6.7",,"   70","   70","7.6","11.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-29","5.2",,"1.3","0.0","0.0",,"8.3","6.7",,"   60","   40","9.4","13.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-30","2.1",,"1.0","0.0","0.0",,"11.1","5.0",,"   50","   50","5.8","7.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-31","3.0",,"1.5","0.0","0.0",,"9.4","5.0",,"   50","   40","7.2","9.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-01","3.4",,"0.0","0.0","0.0",,"13.3","3.3",,"   50","   40","7.6","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-02","4.2",,"0.0","0.0","0.0",,"14.4","3.3",,"  300","  280","9.4","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-03","3.9",,"3.3","0.0","0.0",,"11.1","7.2",,"   10","   20","7.6","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-04","1.9",,"0.5","0.0","0.0",,"16.7","7.8",,"   40","   30","6.7","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-05","1.1",,"0.0","0.0","0.0",,"18.3","8.3",,"  140","  150","4.5","7.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-06","2.6",,"1.8","0.0","0.0",,"18.9","9.4",,"  310","  320","5.8","8.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-07","1.7",,"0.0","0.0","0.0",,"20.0","11.1",,"  150","  150","6.7","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-08","1.7",,"5.1","0.0","0.0",,"17.8","9.4",,"  350","  240","4.5","7.2","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-09","3.5",,"3.0","0.0","0.0",,"15.0","6.1",,"  300","  300","10.7","17.4","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-10","4.5",,"0.3","0.0","0.0",,"9.4","2.8",,"  280","  290","11.2","17.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-11","4.0",,"0.0","0.0","0.0",,"13.3","3.3",,"  270","  300","8.1","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-12","2.6",,"0.0","0.0","0.0",,"17.2","6.7",,"  150","  150","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-13","3.5",,"48.8","0.0","0.0",,"19.4","11.7",,"  160","  200","8.1","17.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-14","2.8",,"0.0","0.0","0.0",,"15.6","8.3",,"  300","  280","6.7","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-15","2.8",,"0.0","0.0","0.0",,"12.2","5.6",,"  270","  270","6.3","11.2",,,,,,
